time,export_node_162,export_node_130,export_node_68,export_node_100,export_node_6,export_node_98,export_node_137,export_node_170,export_node_172,export_node_108,export_node_111,export_node_144,export_node_112,export_node_146,export_node_19,export_node_85,export_node_154,export_node_59,export_node_124,export_node_127
2012-01-02 22:00:00,1937.041940,-7.550535,-47.934544,33.104424,-1134.854950,44.426584,2113.438511,-1770.815461,1202.650850,21.663103,-2640.731619,1665.373214,3.646163,-1243.583765,662.955400,-40.524483,-1806.603211,-14.229634,2003.683205,193.236271
2012-01-02 23:00:00,1934.876900,-8.620167,-46.077360,46.157454,-1053.769868,42.991469,2104.972376,-1656.322062,1166.617162,48.725847,-2397.066575,1670.475891,1.809994,-1075.684350,662.437849,-45.230681,-1642.714676,-14.250406,2004.005381,-2.846752
2012-01-03 00:00:00,1937.197225,2.323198,-42.444418,47.413219,-1317.757332,27.541994,2101.170758,-1437.610727,1187.417313,40.257473,-2141.899569,1441.884970,-0.886079,-918.118296,526.467808,-44.628928,-1482.232632,-11.212794,2008.450290,-3.281461
2012-01-03 01:00:00,569.258660,7.703002,-39.714730,31.956655,-1189.456823,28.989435,2102.259777,-1341.438416,1189.264705,13.816234,-1981.241579,1623.253861,-1.573528,-868.972126,529.591196,-42.058317,-1388.067832,-7.029283,2015.832741,-1.092327
2012-01-03 02:00:00,-15.625110,8.170955,-37.641848,52.324050,-1092.528149,46.575523,1639.581350,-1278.083151,1221.824614,8.159477,-1946.891174,1213.292757,0.284230,-877.792600,538.948294,-43.074493,-1342.906252,-7.054377,2014.960044,6.697317
2012-01-03 03:00:00,-19.685760,17.288381,-35.968045,-39.135987,-817.597276,53.966008,1383.068272,-1200.320452,1239.533072,9.922768,-1928.413146,1252.114252,2.984128,-890.376802,544.872983,-44.661372,-1322.819214,-5.520086,2017.072401,13.670514
2012-01-03 04:00:00,1683.822829,12.764844,-36.272763,-74.480239,-991.698808,42.605162,911.059425,-1269.143308,1280.602330,8.782481,-1983.870079,1256.322629,3.472220,-923.227068,545.859045,-44.330088,-1358.634200,-6.313689,2019.381667,15.752834
2012-01-03 05:00:00,1932.366818,-6.693079,-39.892302,-127.196232,-971.824047,33.197113,2094.697537,-1445.823955,1292.733580,-2.572222,-2166.550688,1726.765124,2.686369,-1044.829363,548.807180,-41.537262,-1499.657001,-5.402019,2009.584573,8.256268
2012-01-03 06:00:00,1929.058093,-15.858275,-47.496348,-230.879868,-981.595599,31.075023,2098.729698,-1690.339485,1264.619012,-10.114443,-2484.265662,1690.663611,-0.734034,-1212.254763,679.853499,-34.234706,-1716.101460,-6.747888,2006.281082,1357.655526
2012-01-03 07:00:00,1925.952268,-20.879687,-53.742802,-295.017206,-842.812687,27.139523,2111.630831,-1930.566046,1270.224532,-6.110409,-2782.925970,1692.403856,-7.348403,-1355.829641,667.902316,-40.649121,-1920.611005,-5.774447,2008.940806,1668.875793
2012-01-03 08:00:00,1942.474232,-20.268934,-54.910618,-320.253006,-789.287069,28.873740,2119.171921,-2129.752915,1230.593951,-5.299725,-2952.286176,1641.677315,-5.235853,-1437.784960,679.973623,-34.447158,-2041.027770,-1.953679,2025.411624,1671.508675
2012-01-03 09:00:00,1980.486047,-18.972936,-49.471140,-305.851145,-1237.098278,57.553448,2111.137920,-2166.190726,1258.117954,8.933300,-3029.207980,1692.495236,3.455751,-1453.111686,738.492892,-4.053061,-2090.928367,3.125147,2024.011811,431.297456
2012-01-03 10:00:00,1479.859190,-18.962533,-40.832099,-288.759671,-1494.733086,95.894443,2113.476800,-2127.920856,1299.825428,34.808991,-3021.571519,1790.236509,7.243231,-1422.993266,663.354927,20.628259,-2083.889102,5.289929,2048.853620,19.294359
2012-01-03 11:00:00,79.446910,-13.357922,-30.216503,-285.590734,-1506.622845,118.612677,2012.807114,-2080.316698,1307.880549,60.615216,-2973.654344,1353.723103,6.376208,-1393.859057,681.302720,49.896701,-2045.107888,8.901610,2067.169465,31.772030
2012-01-03 12:00:00,88.058159,-14.439027,-25.748500,-292.737361,-1525.923240,154.489101,1268.446388,-2085.484067,1302.432917,82.926939,-2952.272321,300.197086,46.954584,-1350.758785,707.041032,65.865057,-2027.164027,7.502140,2075.877469,-12.777300
2012-01-03 13:00:00,82.673588,-20.153808,-20.203742,-290.302740,-1431.893713,175.723869,1162.061948,-2038.421565,1261.225839,79.152703,-2858.028368,421.157982,37.253454,-1307.029383,716.723863,56.266750,-1953.501846,5.177404,2088.533341,-12.211700
2012-01-03 14:00:00,65.041050,-23.148017,-16.099608,-300.375426,-1480.395372,210.712455,2112.140297,-2028.973645,1199.985336,67.991236,-2801.815103,1325.447786,30.300636,-1293.844077,683.876206,27.943202,-1909.311356,1.678187,2084.241842,51.416252
2012-01-03 15:00:00,1994.581504,-31.706675,-26.694815,-381.184620,-1519.505875,205.321074,2105.164190,-2083.281692,1153.165627,48.870954,-2845.209721,1673.673591,21.523824,-1308.408935,632.877304,9.720191,-1922.719206,-5.360088,2029.569817,38.689604
2012-01-03 16:00:00,1928.432673,-34.988347,-47.972070,-393.832658,-99.657312,74.167436,2091.750354,-2221.324134,1075.511994,49.206813,-2938.714900,1551.332935,6.808279,-1396.025634,639.139585,-25.716986,-1997.688239,-16.427464,1996.241896,1673.250793
